category_id,product_id,inserted_at,updated_at
7,1,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
7,10,,
7,11,,
7,12,,
7,13,,
7,14,,
7,15,,
7,16,,
7,17,,
7,18,,
7,19,,
7,20,,
7,21,,
7,22,,
7,23,,
7,24,,
7,25,,
7,26,,
7,27,,
7,28,,
7,29,,
7,30,,
7,31,,
7,32,,
7,33,,
7,34,,
7,35,,
7,36,,
7,37,,
7,38,,
7,39,,
7,40,,
7,41,,
7,42,,
7,43,,
6,44,,
6,45,,
6,46,,
6,47,,
6,48,,
6,49,,
6,50,,
6,51,,
6,52,,
6,53,,
6,54,,
6,55,,
6,56,,
6,57,,
6,58,,
6,59,,
8,60,,
8,61,,
8,62,,
8,63,,
8,64,,
5,65,,
5,66,,
5,67,,
5,68,,
5,69,,
5,70,,
5,71,,
5,72,,
5,73,,
5,74,,
5,75,,
5,76,,
5,77,,
5,78,,
5,79,,
5,80,,
5,81,,
5,82,,
5,83,,
5,84,,
4,85,,
4,86,,
4,87,,
4,88,,
4,89,,
4,90,,
3,91,,
3,92,,
3,93,,
3,94,,
3,95,,
3,96,,
3,97,,
3,98,,
3,99,,
3,100,,
3,101,,
3,102,,
3,103,,
3,104,,
3,105,,
3,106,,
3,107,,
3,108,,
3,109,,
3,110,,
3,111,,
3,112,,
3,113,,
3,114,,
3,115,,
3,116,,
3,117,,
3,118,,
3,119,,
3,120,,
3,121,,
3,122,,
3,123,,
3,124,,
3,125,,
3,126,,
3,127,,
3,128,,
3,129,,
3,130,,
3,131,,
3,132,,
3,133,,
3,134,,
3,135,,
3,136,,
3,137,,
3,138,,
3,139,,
3,140,,
3,141,,
3,142,,
3,143,,
3,144,,
3,145,,
3,146,,
3,147,,
3,148,,
3,149,,
3,150,,
3,151,,
3,152,,
3,153,,
3,154,,
3,155,,
3,156,,
3,157,,
3,158,,
3,159,,
3,160,,
3,161,,
3,162,,
3,163,,
3,164,,
3,165,,
3,166,,
3,167,,
3,168,,
3,169,,
3,170,,
3,171,,
3,172,,
3,173,,
3,174,,
3,175,,
3,176,,
3,177,,
3,178,,
3,179,,
3,180,,
3,181,,
3,182,,
3,183,,
3,184,,
3,185,,
3,186,,
3,187,,
3,188,,
3,189,,
3,190,,
3,191,,
3,192,,
3,193,,
3,194,,
3,195,,
3,196,,
3,197,,
3,198,,
3,199,,
3,200,,
3,201,,
3,202,,
3,203,,
3,204,,
3,205,,
3,206,,
3,207,,
3,208,,
3,209,,
3,210,,
3,211,,
3,212,,
3,213,,
3,214,,
3,215,,
3,216,,
3,217,,
3,218,,
3,219,,
3,220,,
3,221,,
3,222,,
3,223,,
3,224,,
3,225,,
3,226,,
3,227,,
3,228,,
3,229,,
3,230,,
3,231,,
3,232,,
3,233,,
3,234,,
3,235,,
3,236,,
3,237,,
3,238,,
3,239,,
2,240,,
2,241,,
2,242,,
2,243,,
2,244,,
2,245,,
2,246,,
2,247,,
2,248,,
2,249,,
2,250,,
2,251,,
2,252,,
2,253,,
2,254,,
2,255,,
2,256,,
2,257,,
2,258,,
2,259,,
2,260,,
2,261,,
2,262,,
2,263,,
2,264,,
2,265,,
2,266,,
2,267,,
2,268,,
2,269,,
2,270,,
2,271,,
2,272,,
2,273,,
2,274,,
2,275,,
2,276,,
2,277,,
2,278,,
2,279,,
2,280,,
2,281,,
2,282,,
2,283,,
2,284,,
2,285,,
2,286,,
2,287,,
2,288,,
2,289,,
9,290,,
9,291,,
9,292,,
9,293,,
9,294,,
9,295,,
9,296,,
9,297,,
9,298,,
9,299,,
9,300,,
9,301,,
9,302,,
9,303,,
9,304,,
9,305,,
9,306,,
9,307,,
9,308,,
9,309,,
9,310,,
9,311,,
9,312,,
9,313,,
9,314,,
9,315,,
9,316,,
9,317,,
9,318,,
9,319,,
9,320,,
9,321,,
9,322,,
9,323,,
9,324,,
9,325,,
9,326,,
9,327,,
9,328,,
9,329,,
9,330,,
9,331,,
9,332,,
9,333,,
9,334,,
9,335,,
9,336,,
9,337,,
9,338,,
9,339,,
9,340,,
9,341,,
9,342,,
9,343,,
9,344,,
9,345,,
9,346,,
9,347,,
9,348,,
9,349,,
9,350,,
