attributes_name_id,attributes_value_id,inserted_at,updated_at
1,1,,
1,2,,
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
2,8,,
4,9,,
4,10,,
4,11,,
4,12,,
5,13,,
5,14,,
5,15,,
5,16,,
5,17,,
5,18,,
5,19,,
5,20,,
5,21,,
5,22,,
5,23,,
5,24,,
5,25,,
5,26,,
6,27,,
6,28,,
6,29,,
6,30,,
6,31,,
6,32,,
6,33,,
3,34,,
7,35,,
7,36,,
7,37,,
7,38,,
7,39,,
7,40,,
7,41,,
7,42,,
7,43,,
7,44,,
7,45,,
7,46,,
7,47,,
7,48,,
7,49,,
7,50,,
7,51,,
7,52,,
7,53,,
7,54,,
7,55,,
7,56,,
7,57,,
7,58,,
