attributes_value_id,product_id,inserted_at,updated_at
2,1,,
1,2,,
2,3,,
1,4,,
1,5,,
1,6,,
2,7,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,,
1,13,,
1,14,,
2,15,,
1,16,,
1,17,,
2,18,,
1,19,,
1,20,,
1,21,,
1,22,,
1,23,,
1,24,,
2,25,,
1,26,,
1,27,,
2,28,,
1,29,,
2,30,,
1,31,,
2,32,,
1,33,,
2,34,,
1,35,,
1,36,,
2,37,,
1,38,,
1,39,,
1,40,,
1,41,,
1,42,,
1,43,,
1,44,,
1,45,,
1,46,,
1,47,,
1,48,,
1,49,,
1,50,,
1,51,,
1,52,,
1,53,,
1,54,,
1,55,,
1,56,,
1,57,,
1,58,,
1,59,,
1,60,,
1,61,,
1,62,,
1,63,,
1,64,,
1,65,,
1,66,,
1,67,,
1,68,,
1,69,,
1,70,,
1,71,,
1,72,,
1,73,,
1,74,,
1,75,,
1,76,,
1,77,,
1,78,,
1,79,,
1,80,,
1,81,,
1,82,,
1,83,,
1,84,,
2,85,,
2,86,,
2,87,,
2,88,,
2,89,,
1,90,,
2,91,,
1,92,,
2,93,,
2,94,,
2,95,,
2,96,,
2,97,,
2,98,,
2,99,,
2,100,,
2,101,,
2,102,,
2,103,,
2,104,,
2,105,,
2,106,,
2,107,,
2,108,,
1,109,,
2,110,,
1,111,,
2,112,,
1,113,,
2,114,,
2,115,,
2,116,,
2,117,,
2,118,,
2,119,,
2,120,,
2,121,,
2,122,,
2,123,,
2,124,,
1,125,,
1,126,,
1,127,,
1,128,,
1,129,,
2,130,,
2,131,,
2,132,,
2,133,,
2,134,,
1,135,,
1,136,,
2,137,,
2,138,,
1,139,,
1,140,,
1,141,,
1,142,,
1,143,,
1,144,,
1,145,,
1,146,,
1,147,,
1,148,,
1,149,,
2,150,,
2,151,,
2,152,,
1,153,,
2,154,,
2,155,,
1,156,,
2,157,,
1,158,,
1,159,,
1,160,,
1,161,,
1,162,,
2,163,,
1,164,,
1,165,,
1,166,,
1,167,,
1,168,,
1,169,,
1,170,,
2,171,,
1,172,,
1,173,,
1,174,,
1,175,,
1,176,,
1,177,,
2,178,,
1,179,,
2,180,,
2,181,,
2,182,,
1,183,,
2,184,,
2,185,,
1,186,,
2,187,,
1,188,,
1,189,,
1,190,,
1,191,,
1,192,,
1,193,,
2,194,,
2,195,,
1,196,,
1,197,,
1,198,,
1,199,,
1,200,,
1,201,,
1,202,,
1,203,,
1,204,,
1,205,,
1,206,,
1,207,,
1,208,,
1,209,,
1,210,,
1,211,,
1,212,,
1,213,,
1,214,,
1,215,,
1,216,,
1,217,,
1,218,,
1,219,,
1,220,,
2,221,,
2,222,,
1,223,,
2,224,,
1,225,,
1,226,,
2,227,,
1,228,,
1,229,,
1,230,,
1,231,,
1,232,,
1,233,,
1,234,,
1,235,,
1,236,,
1,237,,
