attributes_name_id,attributes_value_id,inserted_at,updated_at
8,59,,
8,60,,
8,61,,
8,62,,
8,63,,
8,64,,
8,65,,
8,66,,
8,67,,
8,68,,
8,69,,
8,70,,
8,71,,
8,72,,
8,73,,
8,74,,
8,75,,
8,76,,
8,77,,
8,78,,
8,79,,
8,80,,
8,81,,
8,82,,
8,83,,
8,84,,
8,85,,
8,86,,
8,87,,
8,88,,
8,89,,
8,90,,
8,91,,
8,92,,
8,93,,
8,94,,
8,95,,
8,96,,
8,97,,
8,98,,
8,99,,
8,100,,
8,101,,
8,102,,
8,103,,
8,104,,
8,105,,
8,106,,
8,107,,
8,108,,
8,109,,
8,110,,
8,111,,
8,112,,
8,113,,
8,114,,
8,115,,
8,116,,
8,117,,
8,118,,
8,119,,
8,120,,
8,121,,
8,122,,
8,123,,
8,124,,
8,125,,
8,126,,
8,127,,
8,128,,
8,129,,
8,130,,
8,131,,
8,132,,
8,133,,
8,134,,
8,135,,
8,136,,
8,137,,
8,138,,
8,139,,
8,140,,
8,141,,
8,142,,
8,143,,
8,144,,
8,145,,
8,146,,
8,147,,
8,148,,
8,149,,
8,150,,
8,151,,
8,152,,
8,153,,
8,154,,
8,155,,
8,156,,
8,157,,
8,158,,
8,159,,
8,160,,
8,161,,
8,162,,
8,163,,
8,164,,
8,165,,
8,166,,
8,167,,
8,168,,
