product_id,media_id,inserted_at,updated_at
1,1,2020-03-04 12:04:00,
2,2,2020-03-04 12:04:00,
3,3,2020-03-04 12:04:00,
4,4,2020-03-04 12:04:00,
5,5,2020-03-04 12:04:00,
6,6,2020-03-04 12:04:00,
7,7,2020-03-04 12:04:00,
8,8,2020-03-04 12:04:00,
9,9,2020-03-04 12:04:00,
10,10,2020-03-04 12:04:00,
11,11,2020-03-04 12:04:00,
12,12,2020-03-04 12:04:00,
13,13,2020-03-04 12:04:00,
14,14,2020-03-04 12:04:00,
15,15,2020-03-04 12:04:00,
16,16,2020-03-04 12:04:00,
17,17,2020-03-04 12:04:00,
18,18,2020-03-04 12:04:00,
19,19,2020-03-04 12:04:00,
20,20,2020-03-04 12:04:00,
21,21,2020-03-04 12:04:00,
22,22,2020-03-04 12:04:00,
23,23,2020-03-04 12:04:00,
24,24,2020-03-04 12:04:00,
25,25,2020-03-04 12:04:00,
26,26,2020-03-04 12:04:00,
27,27,2020-03-04 12:04:00,
28,28,2020-03-04 12:04:00,
29,29,2020-03-04 12:04:00,
30,30,2020-03-04 12:04:00,
31,31,2020-03-04 12:04:00,
32,32,2020-03-04 12:04:00,
33,33,2020-03-04 12:04:00,
34,34,2020-03-04 12:04:00,
35,35,2020-03-04 12:04:00,
36,36,2020-03-04 12:04:00,
37,37,2020-03-04 12:04:00,
38,38,2020-03-04 12:04:00,
39,39,2020-03-04 12:04:00,
40,40,2020-03-04 12:04:00,
41,41,2020-03-04 12:04:00,
42,42,2020-03-04 12:04:00,
43,43,2020-03-04 12:04:00,
44,44,2020-03-04 12:04:00,
45,45,2020-03-04 12:04:00,
46,46,2020-03-04 12:04:00,
47,47,2020-03-04 12:04:00,
48,48,2020-03-04 12:04:00,
49,49,2020-03-04 12:04:00,
50,50,2020-03-04 12:04:00,
51,51,2020-03-04 12:04:00,
52,52,2020-03-04 12:04:00,
53,53,2020-03-04 12:04:00,
54,54,2020-03-04 12:04:00,
55,55,2020-03-04 12:04:00,
56,56,2020-03-04 12:04:00,
57,57,2020-03-04 12:04:00,
58,58,2020-03-04 12:04:00,
59,59,2020-03-04 12:04:00,
60,60,2020-03-04 12:04:00,
61,61,2020-03-04 12:04:00,
62,62,2020-03-04 12:04:00,
63,63,2020-03-04 12:04:00,
64,64,2020-03-04 12:04:00,
65,65,2020-03-04 12:04:00,
66,66,2020-03-04 12:04:00,
67,67,2020-03-04 12:04:00,
68,68,2020-03-04 12:04:00,
69,69,2020-03-04 12:04:00,
70,70,2020-03-04 12:04:00,
71,71,2020-03-04 12:04:00,
72,72,2020-03-04 12:04:00,
73,73,2020-03-04 12:04:00,
74,74,2020-03-04 12:04:00,
75,75,2020-03-04 12:04:00,
76,76,2020-03-04 12:04:00,
77,77,2020-03-04 12:04:00,
78,78,2020-03-04 12:04:00,
79,79,2020-03-04 12:04:00,
80,80,2020-03-04 12:04:00,
81,81,2020-03-04 12:04:00,
82,82,2020-03-04 12:04:00,
83,83,2020-03-04 12:04:00,
84,84,2020-03-04 12:04:00,
85,85,2020-03-04 12:04:00,
86,86,2020-03-04 12:04:00,
87,87,2020-03-04 12:04:00,
88,88,2020-03-04 12:04:00,
89,89,2020-03-04 12:04:00,
90,90,2020-03-04 12:04:00,
91,91,2020-03-04 12:04:00,
92,92,2020-03-04 12:04:00,
93,93,2020-03-04 12:04:00,
94,94,2020-03-04 12:04:00,
95,95,2020-03-04 12:04:00,
96,96,2020-03-04 12:04:00,
97,97,2020-03-04 12:04:00,
98,98,2020-03-04 12:04:00,
99,99,2020-03-04 12:04:00,
100,100,2020-03-04 12:04:00,
101,101,2020-03-04 12:04:00,
102,102,2020-03-04 12:04:00,
103,103,2020-03-04 12:04:00,
104,104,2020-03-04 12:04:00,
105,105,2020-03-04 12:04:00,
106,106,2020-03-04 12:04:00,
107,107,2020-03-04 12:04:00,
108,108,2020-03-04 12:04:00,
109,109,2020-03-04 12:04:00,
110,110,2020-03-04 12:04:00,
111,111,2020-03-04 12:04:00,
112,112,2020-03-04 12:04:00,
113,113,2020-03-04 12:04:00,
114,114,2020-03-04 12:04:00,
115,115,2020-03-04 12:04:00,
116,116,2020-03-04 12:04:00,
117,117,2020-03-04 12:04:00,
118,118,2020-03-04 12:04:00,
119,119,2020-03-04 12:04:00,
120,120,2020-03-04 12:04:00,
121,121,2020-03-04 12:04:00,
122,122,2020-03-04 12:04:00,
123,123,2020-03-04 12:04:00,
124,124,2020-03-04 12:04:00,
125,125,2020-03-04 12:04:00,
126,126,2020-03-04 12:04:00,
127,127,2020-03-04 12:04:00,
128,128,2020-03-04 12:04:00,
129,129,2020-03-04 12:04:00,
130,130,2020-03-04 12:04:00,
131,131,2020-03-04 12:04:00,
132,132,2020-03-04 12:04:00,
133,133,2020-03-04 12:04:00,
134,134,2020-03-04 12:04:00,
135,135,2020-03-04 12:04:00,
136,136,2020-03-04 12:04:00,
137,137,2020-03-04 12:04:00,
138,138,2020-03-04 12:04:00,
139,139,2020-03-04 12:04:00,
140,140,2020-03-04 12:04:00,
141,141,2020-03-04 12:04:00,
142,142,2020-03-04 12:04:00,
143,143,2020-03-04 12:04:00,
144,144,2020-03-04 12:04:00,
145,145,2020-03-04 12:04:00,
146,146,2020-03-04 12:04:00,
147,147,2020-03-04 12:04:00,
148,148,2020-03-04 12:04:00,
149,149,2020-03-04 12:04:00,
150,150,2020-03-04 12:04:00,
151,151,2020-03-04 12:04:00,
152,152,2020-03-04 12:04:00,
153,153,2020-03-04 12:04:00,
154,154,2020-03-04 12:04:00,
155,155,2020-03-04 12:04:00,
156,156,2020-03-04 12:04:00,
157,157,2020-03-04 12:04:00,
158,158,2020-03-04 12:04:00,
159,159,2020-03-04 12:04:00,
160,160,2020-03-04 12:04:00,
161,161,2020-03-04 12:04:00,
162,162,2020-03-04 12:04:00,
163,163,2020-03-04 12:04:00,
164,164,2020-03-04 12:04:00,
165,165,2020-03-04 12:04:00,
166,166,2020-03-04 12:04:00,
167,167,2020-03-04 12:04:00,
168,168,2020-03-04 12:04:00,
169,169,2020-03-04 12:04:00,
170,170,2020-03-04 12:04:00,
171,171,2020-03-04 12:04:00,
172,172,2020-03-04 12:04:00,
173,173,2020-03-04 12:04:00,
174,174,2020-03-04 12:04:00,
175,175,2020-03-04 12:04:00,
176,176,2020-03-04 12:04:00,
177,177,2020-03-04 12:04:00,
