id,url,thumbnail,inserted_at,updated_at
1,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
2,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
3,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
4,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
5,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
6,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
7,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
8,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
9,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
10,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
11,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
12,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
13,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
14,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
15,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
16,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
17,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
18,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
19,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
20,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
21,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
22,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
23,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
24,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
25,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
26,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
27,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
28,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
29,assets/ECommerceDB .png,assets/ECommerceDB .png,2020-03-04 12:04:00,
